"","p_val","log2FoldChange","pct.1","pct.2","padj"
"MACF1",0.374305398096019,0.0132028445491034,0.114,0.089,1
"NDUFS7",0.37451586317173,0.077299272874071,0.254,0.206,1
"HLA-DRA",0.375177584488772,0.179327753756513,0.33,0.256,1
"PTRHD1",0.375488415737338,0.0237651652855826,0.125,0.096,1
"CAT",0.37586137108171,0.01768477689025,0.12,0.092,1
"RPL39",0.376164379786616,0.0794134634273939,0.33,0.294,1
"RPA3",0.376191489662696,0.034235728176331,0.133,0.111,1
"ROMO1",0.376349710694375,0.0343967170154695,0.126,0.116,1
"FUNDC2",0.376649877557092,0.0421098444117712,0.141,0.123,1
"PRDX2",0.376767513078442,0.166449719231431,0.5,0.369,1
"MRPS5",0.376779362424402,0.0156808917415624,0.108,0.096,1
"RBBP7",0.377536955135108,0.0543300005608431,0.167,0.13,1
"NCBP2",0.378221832254116,0.046559499750515,0.155,0.119,1
"SEPW1",0.37903375090408,0.0706908808121611,0.323,0.246,1
"ZRANB2",0.379183940939986,0.0113695931733731,0.103,0.092,1
"ERICH1",0.379474476364378,0.00927041582919469,0.101,0.089,1
"IRF1",0.379761140216381,0.0736651547041731,0.291,0.232,1
"ZDHHC12",0.379768630983359,0.0304532713285977,0.126,0.106,1
"CKLF",0.379941355056665,0.20406375489704,0.249,0.123,1
"SNRPF",0.380141508399492,0.0693714620417702,0.209,0.167,1
"FAM102A",0.380390526591665,0.0383678447862427,0.14,0.111,1
"MORF4L1",0.380424497941188,0.0784128931847793,0.47,0.425,1
"SAP30BP",0.380854052082153,0.0157347857347748,0.109,0.096,1
"IDS",0.380873328668409,0.173323883507106,0.322,0.217,1
"EPC1",0.381373987439957,0.0689991201567633,0.212,0.167,1
"PDCL3",0.381419494717954,0.0446632513177219,0.148,0.119,1
"DEF6",0.381677513654471,0.0643032937693438,0.205,0.148,1
"DPH5",0.382298861211625,0.0201474434234532,0.111,0.099,1
"MRPL3",0.382353200439374,0.0381104995185559,0.15,0.102,1
"CD63",0.382563167890774,0.191383628306822,0.263,0.164,1
"C7orf50",0.382811799880102,0.0346400152113952,0.135,0.106,1
"SDHD",0.383552432309867,0.0680240985707616,0.207,0.162,1
"LINC00936",0.383822124791063,0.197899966338017,0.264,0.126,1
"MLF2",0.383913540380461,0.0347216029654014,0.13,0.108,1
"RGL4",0.384903733144655,0.0634788941185692,0.195,0.154,1
"GLRX5",0.384905743879008,0.00682923251288273,0.104,0.084,1
"BCL11B",0.385035298626771,0.0520606614519905,0.163,0.126,1
"IL27RA",0.38544130070416,0.0488050639276684,0.178,0.108,1
"WBP11",0.386135149270964,0.0115123666158642,0.101,0.092,1
"HNRNPR",0.386169058704444,0.080515162732983,0.253,0.195,1
"EIF3H",0.386726349708832,0.130106638348348,0.699,0.667,1
"STXBP2",0.387293696758354,0.0325890156725889,0.128,0.104,1
"NKTR",0.387592152715367,0.0580997062512015,0.17,0.135,1
"FCER1G",0.387871665881464,0.0114646292421066,0.101,0.092,1
"FRG1",0.388089509396139,0.032510575650048,0.126,0.104,1
"ACAA1",0.388156059281045,0.0244257459988192,0.12,0.094,1
"FXR1",0.388443324062197,0.0346400152113952,0.131,0.106,1
"C19orf66",0.388514917844713,0.0706982643738622,0.215,0.169,1
"MRPS16",0.388544103654494,0.0221941987002367,0.116,0.092,1
"TSTD1",0.389096587448413,0.167083073062054,0.357,0.232,1
"CNOT2",0.390566157265172,0.0157888448185573,0.108,0.09,1
"RBBP6",0.390648853480805,0.0388018961354707,0.14,0.106,1
"NECAP2",0.391402572070444,0.0783514901484063,0.239,0.201,1
"UBE2L3",0.391503027763071,0.187582381258993,0.288,0.16,1
"MPC2",0.391546545595913,0.0619439918133429,0.182,0.14,1
"SNRNP70",0.391974177597285,0.046074212418643,0.141,0.118,1
"TMC6",0.392071980518792,0.0579868530857464,0.168,0.135,1
"RAP1A",0.393125315689739,0.0818720026638953,0.374,0.283,1
"DCTN2",0.39314260006632,0.0381104995185559,0.148,0.101,1
"CHCHD5",0.393341400417223,0.0261722740007218,0.113,0.102,1
"RAB5C",0.393470229201196,0.189384623892979,0.259,0.174,1
"OXA1L",0.393538882136484,0.0671666901382907,0.209,0.152,1
"SERBP1",0.39366619399542,0.0850145957356692,0.396,0.328,1
"ATG3",0.394082887237358,0.0524815284842097,0.16,0.123,1
"PGK1",0.39429429240396,0.162884217969109,0.527,0.415,1
"RASSF5",0.394310562820486,0.0688756982890659,0.219,0.157,1
"ASAH1",0.39432085139554,0.0488449790016889,0.16,0.111,1
"RTFDC1",0.394335492081007,0.0677773992012331,0.2,0.162,1
"ST3GAL1",0.39619061580934,0.0305287816377051,0.125,0.099,1
"RNF138",0.396694288191001,0.0265903301121421,0.116,0.097,1
"ISCA2",0.397178670129849,0.0264501313783183,0.114,0.099,1
"SCML4",0.398448718564836,0.0365136580275708,0.128,0.109,1
"WSB1",0.398527862323075,0.0556168562506812,0.168,0.125,1
"RPL7A",0.399081318802255,0.215193557618631,0.998,0.98,1
"CD44",0.399221752788718,0.170852414251478,0.559,0.464,1
"ENY2",0.399458654869505,0.0488449790016889,0.152,0.118,1
"MCTS1",0.399632245494895,0.0180850205393506,0.106,0.09,1
"AATF",0.400456609143851,0.0124278478659191,0.116,0.077,1
"APOA1BP",0.400460119781258,0.0133023675271086,0.116,0.073,1
"MTPN",0.400570008995191,0.0180850205393506,0.104,0.092,1
"TNFRSF14",0.401082006288903,0.076196716426913,0.244,0.183,1
"TCEB1",0.401095153770206,0.0408284054867598,0.138,0.108,1
"ITK",0.40119562536044,0.046854132590532,0.138,0.119,1
"XRN2",0.401344157553333,0.0343967170154695,0.13,0.099,1
"TINF2",0.401446026572924,0.0369360240308433,0.131,0.104,1
"SLFN5",0.401479139841381,0.0344775733343712,0.12,0.108,1
"AKR7A2",0.40163514522498,0.0348034367380308,0.125,0.104,1
"TSR2",0.402373791766069,0.0309097795690182,0.125,0.097,1
"S100A9",0.402836722801634,0.0640956626683918,0.189,0.131,1
"RPSA",0.402875753778306,0.225905538756893,0.997,0.978,1
"FDX1",0.404066929208695,0.0580997062512015,0.173,0.125,1
"CMTM3",0.404190103293351,0.220586625762088,0.209,0.097,1
"NOC2L",0.404833477009188,0.00927041582919469,0.101,0.08,1
"MRFAP1",0.405306498094169,0.0756368427787107,0.253,0.218,1
