"","p_val","log2FoldChange","pct.1","pct.2","padj"
"BLOC1S2",0.485000231678765,0.062162131055936,0.155,0.104,1
"ANKRD44",0.485274352473009,0.0685217033271425,0.143,0.15,1
"MPLKIP",0.485279886646004,0.0546623186432091,0.14,0.09,1
"SPOP",0.487645800388214,0.0402356502451647,0.114,0.082,1
"TRIM69",0.487657521513988,0.0382421851443444,0.109,0.082,1
"SLMO2",0.48772194041284,0.0562155805082416,0.136,0.097,1
"DGCR6L",0.48853437581128,0.0873529375379939,0.229,0.166,1
"C14orf119",0.488556465944214,0.0523151431722891,0.131,0.092,1
"MSL3",0.488935289877199,0.0361471662077697,0.104,0.08,1
"GS1-251I9.4",0.489757596026356,0.0342089900624629,0.104,0.078,1
"ZNRD1",0.49034239587888,0.0544383150652591,0.128,0.099,1
"TMBIM4.1",0.491775403064659,0.165414804439389,0.305,0.215,1
"GSPT1",0.492019302422093,0.0381532314777693,0.104,0.085,1
"GTF2B",0.492040345467289,0.0486785949343031,0.123,0.089,1
"SIAH2",0.492082541791466,0.0603081145237652,0.141,0.099,1
"CSNK1A1",0.493931224912308,0.0775490685704598,0.192,0.14,1
"POLR2E",0.494003603905686,0.0615573409100223,0.145,0.111,1
"NPC2",0.494283167942717,0.0898709747074269,0.286,0.224,1
"IRF2BP2",0.494378736291805,0.0379761430630398,0.111,0.077,1
"YY1",0.494681206545952,0.0563294990269478,0.131,0.102,1
"PRKAR1A",0.49511292575172,0.0716302989179912,0.173,0.114,1
"FIP1L1",0.495151135131861,0.0363198179283822,0.103,0.08,1
"PSMB5",0.495165309473713,0.0465269240792546,0.116,0.087,1
"NME4",0.495195764829047,0.0538841783037355,0.133,0.094,1
"COMMD1",0.495249877551452,0.0358901799692004,0.108,0.077,1
"LENG8",0.495278565925224,0.0383314134696456,0.108,0.078,1
"C19orf60",0.495308529138359,0.0907838429382673,0.357,0.287,1
"RAB11B",0.495326426668656,0.0675141904457592,0.157,0.116,1
"C21orf59",0.495472796355928,0.0460260752490586,0.113,0.094,1
"ZFAND2B",0.495761338958237,0.0624065804077631,0.148,0.101,1
"H2AFY",0.496305804555864,0.185378582362654,0.263,0.16,1
"SNRPA",0.496321617671207,0.0563294990269478,0.135,0.097,1
"CHMP2B",0.496941588471064,0.0528619681845997,0.13,0.09,1
"ARF6",0.496997290010728,0.162180782046198,0.38,0.259,1
"ARRDC1",0.497021369318661,0.0361471662077697,0.101,0.082,1
"IDH3G",0.497730076513704,0.0776884016804462,0.182,0.142,1
"CYTH1",0.497919870756048,0.0838937765437393,0.217,0.155,1
"HCLS1",0.498374265097795,0.15438474781898,0.392,0.276,1
"DAD1",0.498426617443969,0.153384087039031,0.448,0.365,1
"TNRC6B",0.498556015627053,0.0543268196410458,0.131,0.09,1
"LSM14A",0.498827003844959,0.0834590214335027,0.219,0.154,1
"WDR61",0.499174560937304,0.0508270615128799,0.125,0.087,1
"SRSF4",0.499250999312903,0.0637548966142681,0.153,0.101,1
"LIPA",0.499367888305938,0.0341256045154703,0.101,0.078,1
"DCTN3",0.49937341919768,0.0863351632164966,0.249,0.171,1
"NAA10",0.500094545731483,0.0743555970091208,0.172,0.131,1
"RBX1",0.500125284122525,0.174641078186179,0.283,0.157,1
"C18orf32",0.500566138731518,0.0485746097815014,0.118,0.09,1
"AKAP13",0.500719043020685,0.0695737126240536,0.163,0.113,1
"THRAP3",0.5007391042689,0.0462255009038518,0.109,0.094,1
"TESPA1",0.500851929456059,0.0603081145237652,0.143,0.097,1
"POLE4",0.501716800134435,0.0657030191675757,0.157,0.102,1
"RPS27L",0.501757218191809,0.16733451709199,0.278,0.203,1
"RSBN1L",0.501819365589981,0.0529723333444368,0.126,0.092,1
"SELK",0.50200587834227,0.161009979263303,0.318,0.23,1
"NUDT2",0.50325346245289,0.0404198384497145,0.106,0.082,1
"USF2",0.503280369192055,0.0289733366820868,0.113,0.055,1
"MRPL14",0.50344280712086,0.0751782235918915,0.17,0.125,1
"NSMCE1",0.503719459340789,0.174354020599239,0.259,0.188,1
"CHMP4B",0.503842199625265,0.0567886197515971,0.135,0.094,1
"RNF114",0.503990757977736,0.0624065804077631,0.143,0.101,1
"PLK3",0.504202964489489,0.0447653087256788,0.114,0.082,1
"MAX",0.50426879144336,0.0765137051765294,0.178,0.126,1
"COX14",0.50498342138473,0.0855544394356962,0.222,0.162,1
"POLR1D",0.505664111575452,0.100584558016404,0.306,0.263,1
"OSTC",0.506556749648685,0.17827050158687,0.241,0.169,1
"OLA1",0.507337653557962,0.0690521207950501,0.153,0.121,1
"CIR1",0.508006730448346,0.0481618195930498,0.108,0.096,1
"P2RY8",0.508115363040894,0.0508270615128799,0.12,0.09,1
"LARP7",0.508227444265152,0.0405123587691714,0.109,0.077,1
"RAD21",0.508366416666957,0.0614374557349688,0.138,0.108,1
"WTAP",0.509171314868428,0.0864793710318068,0.251,0.159,1
"PARVG",0.510782069654339,0.037800138187326,0.101,0.078,1
"EEF2",0.511079152318878,0.215253870406014,0.902,0.831,1
"DGKA",0.511667582569957,0.0506130276810374,0.116,0.089,1
"RILPL2",0.511751805729638,0.198029168694109,0.226,0.094,1
"HADHB",0.512148117775857,0.0606683465148727,0.138,0.094,1
"RASAL3",0.51254733162173,0.0627760094768637,0.143,0.097,1
"CHMP7",0.512625495015571,0.0403276027121064,0.104,0.078,1
"NAE1",0.512668230563084,0.0681600757342693,0.15,0.113,1
"RICTOR",0.512744019981683,0.0510424052017476,0.12,0.084,1
"LSM2",0.51282578165928,0.0866103138324582,0.224,0.164,1
"SERINC5",0.512958900607408,0.0406051649897668,0.106,0.077,1
"APOPT1",0.513301163459419,0.0426900120745415,0.108,0.078,1
"RGS19",0.513584041056369,0.186598884199514,0.247,0.121,1
"OST4",0.514045052320829,0.171933711510385,0.665,0.553,1
"CCDC59",0.514459148534434,0.076721385808107,0.177,0.14,1
"TECR",0.514801611237107,0.0921860912739375,0.311,0.235,1
"PSMB4",0.515680755831949,0.0752775469976031,0.168,0.14,1
"PDHB",0.51569142824877,0.0660827607016604,0.157,0.097,1
"CASP4",0.515739570619638,0.160893402555964,0.322,0.206,1
"STK4",0.517151713802087,0.0858182296470489,0.251,0.224,1
"SNHG9",0.51841795758613,0.0551144199159782,0.121,0.092,1
"DARS",0.518672101439476,0.0755949666618223,0.167,0.121,1
"PPT1",0.519034568077393,0.0813954822415945,0.195,0.14,1
"RBPJ",0.5190556402633,0.0406982584389566,0.104,0.075,1
"ADAR",0.519704150170187,0.0786750464659968,0.177,0.13,1
"COPS3",0.51976767935214,0.0407916404524308,0.104,0.077,1
"METAP2",0.520243767984712,0.0739588073097758,0.165,0.114,1
"GTF2F1",0.520283494635158,0.038781719852287,0.103,0.073,1
"TCP1",0.520696955133588,0.0748165574005294,0.21,0.142,1
"TMEM106B",0.521068533565019,0.0408853123741746,0.104,0.075,1
"PSMD9",0.521415893574674,0.0830909106838343,0.194,0.143,1
"NCL",0.521450722780954,0.086929963176531,0.246,0.205,1
"PARK7",0.521751458670472,0.153377402216319,0.517,0.416,1
"SUMO3",0.521884211864988,0.086463025898249,0.229,0.166,1
"MRPS15",0.522047960951088,0.0805374005497468,0.194,0.128,1
"HTATIP2",0.522196053884557,0.0551144199159782,0.125,0.087,1
"CELF1",0.522250881020288,0.0429791996901949,0.109,0.072,1
"GRPEL1",0.522805566640625,0.0429791996901949,0.104,0.078,1
"NDUFS3",0.523049883282194,0.0735471380129636,0.165,0.114,1
"VMP1",0.52350763337131,0.0508270615128799,0.114,0.087,1
"R3HDM4",0.523572883258323,0.0676426052616768,0.143,0.111,1
"CYB561D2",0.523882315448527,0.0468311225497665,0.116,0.073,1
"MFSD10",0.52449073371393,0.032510575650048,0.106,0.056,1
"CRIP2",0.524801290581937,0.226416975275546,0.167,0.058,1
"SHISA5",0.525614278408773,0.0764569461586296,0.237,0.167,1
"RAB14",0.525994559400276,0.0572533306723128,0.128,0.087,1
"TIAL1",0.526685067794548,0.0606683465148727,0.13,0.099,1
"YEATS4",0.526907268412409,0.0448643833088786,0.106,0.078,1
"DENR",0.527157171873163,0.0690805863310727,0.15,0.102,1
"IFI27L2",0.527586927321268,0.0638784897749301,0.135,0.102,1
"SF3B2",0.528326420522333,0.175667823975405,0.256,0.169,1
"BECN1",0.528330056254869,0.0409792755565327,0.104,0.072,1
"LYPLA1",0.529023457926988,0.0593385613683973,0.145,0.096,1
"WBSCR22",0.529096948890632,0.0879545618339891,0.209,0.16,1
"SPG21",0.529206806631049,0.0699689552130507,0.157,0.106,1
"PNKD",0.529625075268477,0.0645019984099566,0.136,0.104,1
"CARD8",0.530021275063221,0.0571366232849254,0.121,0.09,1
"POLR2C",0.530106743575245,0.0793921440537805,0.175,0.121,1
"SOD2",0.530151874618674,0.0792478879009386,0.175,0.126,1
"CDC37",0.530341717137928,0.091012929964413,0.236,0.167,1
"GMPR2",0.530940543269916,0.0611537424312366,0.131,0.092,1
"RAD23B",0.532173436453163,0.0574878144669298,0.126,0.085,1
"SORL1",0.53226864907738,0.0830909106838343,0.192,0.14,1
"GLG1",0.532812957652597,0.0742352825721057,0.153,0.113,1
"BRMS1",0.53460316240331,0.060910312335038,0.133,0.09,1
"SPSB3",0.534837764554597,0.0686837260939236,0.141,0.099,1
"CTDSP1",0.534890831054712,0.0615216623091164,0.133,0.087,1
"YDJC",0.535402743440465,0.045364370242255,0.108,0.073,1
"GHITM",0.535449987243812,0.153803749068995,0.391,0.288,1
"PCGF5",0.535611152479722,0.045263752884749,0.108,0.073,1
"SNX2",0.535886709389237,0.0711760043332662,0.146,0.101,1
"SH2D1A",0.536448927563832,0.064880597801787,0.14,0.092,1
"MORF4L2",0.536663899613047,0.0497697547298376,0.093,0.102,1
"NDUFA12",0.537445011076308,0.165414804439389,0.285,0.218,1
"PFDN1",0.537478840719416,0.0709049660106021,0.15,0.102,1
"RASSF7",0.537480503946162,0.055457127565365,0.123,0.08,1
"WDR54",0.537758686090403,0.0511505720066426,0.111,0.082,1
"MRPL33",0.537828001711111,0.0615216623091164,0.131,0.085,1
"RPL6",0.537915455580305,0.274153226664807,0.998,0.997,1
"FGD3",0.538114736334427,0.0576055941439418,0.126,0.082,1
"TAF7",0.538336024109446,0.0948460052093741,0.259,0.217,1
"CCDC90B",0.538972411467658,0.0492033190332158,0.109,0.078,1
"PRPF18",0.539683129409029,0.051477070553337,0.114,0.077,1
"MKKS",0.539883243215612,0.0628998938134552,0.128,0.096,1
"TMEM179B",0.540573422373334,0.0513679031465387,0.111,0.08,1
"ASNSD1",0.540718643680461,0.0409792755565327,0.101,0.07,1
"CCDC25",0.542034932933015,0.0427861102892926,0.101,0.072,1
"OS9",0.54209518990446,0.0576055941439418,0.125,0.082,1
"CCT8",0.542695625849429,0.0945212671067049,0.253,0.203,1
"CXCR4",0.542884918883539,0.222986351201059,0.744,0.671,1
"C7orf73",0.543388305521801,0.0779255785235377,0.165,0.114,1
"RTN3",0.543700035294387,0.0450634510003584,0.106,0.072,1
"ITPA",0.544646309280307,0.063904556138797,0.131,0.089,1
"SRM",0.545049784726536,0.0736809128789214,0.165,0.121,1
"CARD16",0.545707590677601,0.188644248714619,0.226,0.108,1
"TROVE2",0.545772478317366,0.0494154755400656,0.108,0.077,1
"RNF115",0.546089647270768,0.0492033190332158,0.111,0.073,1
"BIN1",0.546361887433483,0.153973988616173,0.379,0.276,1
"ANAPC13",0.546786028064073,0.0576055941439418,0.123,0.082,1
"GDI2",0.546801704384181,0.159506147548614,0.303,0.222,1
"TMEM219",0.547087940807777,0.164318521790071,0.298,0.188,1
"MRPL24",0.547134597728052,0.0494154755400656,0.111,0.075,1
"DDA1",0.547383091266147,0.055457127565365,0.114,0.085,1
"PPCS",0.548082170442211,0.0872007143734224,0.195,0.15,1
"SEMA4D",0.548281439367438,0.0558029959561272,0.114,0.082,1
"UBA2",0.548655055169365,0.0631487845310377,0.128,0.09,1
"ATXN10",0.548696305435554,0.0636511018704636,0.128,0.09,1
"DGKZ",0.54909527351781,0.061645048956672,0.128,0.085,1
"HNRNPUL1",0.549294396988656,0.080985469676818,0.17,0.128,1
"SAMHD1",0.549602414687037,0.0928602660224605,0.229,0.166,1
"COPS5",0.549632457960233,0.0868975653291875,0.205,0.138,1
"SLIRP",0.549641066945163,0.0553425426353729,0.118,0.078,1
"MZT2B",0.54965445422814,0.102386820892945,0.487,0.418,1
"AHSA1",0.549961465207657,0.0680301330453976,0.131,0.109,1
"CDC123",0.550017761909768,0.0783572712072925,0.167,0.111,1
"TMEM87A",0.550554758062455,0.045263752884749,0.101,0.072,1
"RHEB",0.551128515393785,0.0762977490289981,0.162,0.108,1
"RAB1A",0.5513253666665,0.063904556138797,0.136,0.08,1
"TTC19",0.551499379972205,0.0516964167913039,0.108,0.077,1
"TMEM248",0.552290374114377,0.0660371434316094,0.135,0.087,1
"CEBPZ-AS1",0.553051071984769,0.0556873526034148,0.114,0.08,1
"ASNA1",0.554165856569563,0.0618929525470401,0.126,0.082,1
"SDF4",0.554698297658524,0.0728533678428789,0.152,0.101,1
"ACN9",0.554701928114771,0.0555720636822617,0.114,0.08,1
"RNF5",0.55566815283242,0.0836064865058348,0.18,0.121,1
"TPST2",0.555739811181712,0.0601159888272099,0.121,0.082,1
"DOCK8",0.555919463713682,0.0657774029788516,0.131,0.089,1
"TMEM208",0.557302896349027,0.0538675158329311,0.111,0.078,1
"MBP",0.558034007414478,0.0577237345373102,0.12,0.077,1
"SCAMP3",0.558175752259661,0.0518065987515209,0.109,0.073,1
"MOB4",0.558561111368369,0.0499516397379069,0.109,0.07,1
"MAL",0.558592343160213,0.087352937537994,0.303,0.241,1
"BAG1",0.559149004632896,0.0760153936037134,0.157,0.102,1
"RANBP1",0.559529086952644,0.0939267894340795,0.36,0.237,1
"UBE2E3",0.559708836895703,0.059872201115887,0.121,0.08,1
"TMEM230",0.560035129946946,0.154814519634879,0.34,0.246,1
"ARID4B",0.560396380614774,0.0900622247959803,0.197,0.148,1
"NINJ1",0.560607972332358,0.0599939081621373,0.121,0.08,1
"TOB1",0.56072104383854,0.0872007143734224,0.19,0.138,1
"MTCH1",0.560862055743347,0.0802666080759335,0.163,0.113,1
"EIF3A",0.561506872789154,0.0537544112644028,0.113,0.075,1
"UQCRC2",0.561669206198457,0.0950408552613381,0.325,0.249,1
"FAM162A",0.561834036011986,0.0864284293096959,0.19,0.128,1
"PNRC1",0.561901692808655,0.115716592256903,0.621,0.553,1
"TMEM258",0.562092792408096,0.149738866928283,0.367,0.273,1
"TMEM126B",0.562223655210864,0.0731296311251158,0.146,0.097,1
"IAH1",0.562677282807733,0.0885865374771045,0.195,0.13,1
"RFXANK",0.562775871578184,0.0640318633033747,0.125,0.084,1
"SH3BP5",0.562831041207278,0.207705776498975,0.175,0.077,1
"POMP",0.563239566926284,0.0677681750148122,0.133,0.089,1
"MOB1A",0.563336600241508,0.0821676205853085,0.172,0.119,1
"PTGER2",0.564144117096925,0.20283015495793,0.204,0.068,1
"COPS4",0.564936355838581,0.0561520690274852,0.111,0.075,1
"VCP",0.564977476335522,0.0713121336296552,0.141,0.094,1
"ATRX",0.5650469459405,0.0701565488121897,0.136,0.089,1
"WAC",0.565551944151482,0.0499516397379069,0.106,0.068,1
"MAT2B",0.56558971661946,0.0900622247959803,0.202,0.155,1
"NARS",0.566097496318945,0.065648123140443,0.131,0.084,1
"STX10",0.566105565909045,0.0659070758108317,0.133,0.084,1
"STK38",0.567067127902375,0.0499516397379069,0.104,0.068,1
"ZNF32",0.567109504326887,0.0680333769192197,0.136,0.082,1
"MAPKAPK5-AS1",0.567231461383552,0.0818694834228293,0.168,0.116,1
"CDC42EP3",0.567359533502831,0.0640318633033747,0.125,0.084,1
"SEPT1",0.567653145651397,0.150154268183743,0.362,0.249,1
"TMED10",0.568235983815853,0.180656031268679,0.241,0.131,1
"MPC1",0.56866617657406,0.0801197919364498,0.158,0.114,1
"GRB2",0.569032989956707,0.0770109933165348,0.152,0.102,1
"EVI2A",0.56914397887809,0.0824153668030725,0.17,0.126,1
"UBE2E1",0.569185469733324,0.0684211215276185,0.15,0.075,1
"TNFSF10",0.569282460934122,0.186309970735864,0.214,0.102,1
"ATP6V1F",0.569427680985183,0.0967885175476054,0.315,0.244,1
"ACAP2",0.569431562813612,0.0480764504968454,0.101,0.067,1
"PROSC",0.569752962337756,0.0519171220414208,0.104,0.073,1
"ACADVL",0.569770587284136,0.0520279882498846,0.104,0.072,1
"PUF60",0.570437726668699,0.0817210694586637,0.172,0.114,1
"TMX1",0.57052463003879,0.0518065987515209,0.101,0.075,1
"UBE2V2",0.571041857528696,0.0719989552928316,0.14,0.09,1
"CCZ1",0.571246249462445,0.0840603646956395,0.172,0.109,1
"CFDP1",0.571412219476838,0.0680333769192197,0.13,0.089,1
"GPI",0.571517912807459,0.073268383294506,0.145,0.092,1
"RPL41",0.57159506203493,0.117590847692921,0.646,0.578,1
"NDUFAB1",0.571682901160319,0.0947902931208601,0.237,0.16,1
"HNRNPA3",0.57224489306986,0.146203911080127,0.332,0.258,1
"UBE2G1",0.572249119255363,0.0559189953777257,0.111,0.073,1
"PLGRKT",0.572670057427059,0.053980969985858,0.109,0.07,1
"GCHFR",0.573189028955396,0.0679005748718216,0.13,0.084,1
"PSENEN",0.573567899871512,0.0601159888272099,0.118,0.077,1
"SCNM1",0.574000957877014,0.0500598745546845,0.104,0.065,1
"APOBEC3G",0.574645331140269,0.0805492184116862,0.184,0.099,1
"PSMC4",0.57518601289042,0.0873529375379939,0.185,0.123,1
"SNX6",0.575305470960313,0.187623742335841,0.219,0.108,1
"EBAG9",0.575316210702309,0.058080336667193,0.109,0.078,1
"BIRC3",0.575662862892161,0.0851556049699164,0.215,0.133,1
"SDCBP",0.575951267688336,0.177564462622432,0.236,0.15,1
"CASP8",0.576157000990538,0.0680333769192197,0.13,0.084,1
"CFLAR",0.576377318052216,0.0923306136923792,0.209,0.148,1
"MAGED2",0.576850750502398,0.075215958373582,0.14,0.102,1
"CCNC",0.577041179169946,0.0718607613850768,0.131,0.092,1
"ABI1",0.577866910954712,0.0772992728740712,0.155,0.099,1
"GORASP2",0.578125096048448,0.0584402456227553,0.113,0.073,1
"PSMA1",0.578304116549747,0.0986638150821076,0.279,0.217,1
"THAP7",0.578871635178585,0.0675045745836252,0.121,0.094,1
"LYPLA2",0.578926892035929,0.056269146581128,0.111,0.07,1
"ATIC",0.579182315259954,0.0606080823054652,0.116,0.075,1
"TCF7",0.579273218706537,0.115516049755321,0.379,0.369,1
"FBXL5",0.580002392834386,0.0503866111840463,0.103,0.065,1
"AKR1B1",0.580009293688666,0.0887427428761949,0.185,0.128,1
"TMEM109",0.580657753736972,0.0724160559943146,0.141,0.084,1
"RPN1",0.582093060183672,0.0585609580891175,0.113,0.072,1
"OBFC1",0.582578300448389,0.0644161262608352,0.123,0.08,1
"RCSD1",0.582703225407254,0.090467789501972,0.209,0.157,1
"UROS",0.583486689937305,0.0736871443249653,0.135,0.097,1
"CDIPT",0.583997240414149,0.0519171220414208,0.108,0.061,1
"SUN2",0.584114619545383,0.0954762418876986,0.298,0.235,1
"COMT",0.584302618656352,0.0662984702753199,0.128,0.08,1
"CNBP",0.584486060140988,0.19345248887528,0.793,0.676,1
"FBLN5",0.584500787033432,0.0584402456227553,0.113,0.07,1
"RP11-489E7.4",0.584609532280431,0.0520279882498846,0.103,0.065,1
"NSL1",0.584658651821549,0.0586820448424428,0.113,0.07,1
"KRCC1",0.584960568233338,0.0602384448346018,0.106,0.08,1
"MARCH7",0.585519615794087,0.0734075516318487,0.145,0.089,1
"TPT1",0.586421086823965,0.243284910197874,0.995,0.995,1
"NKG7",0.587267361089018,0.0846265838934532,0.158,0.123,1
"UBE2N",0.587371912752365,0.0983150431619058,0.231,0.171,1
"COPS6",0.587842773463014,0.0933761117748849,0.236,0.157,1
"NXT1",0.587864918212693,0.0831565687184453,0.163,0.119,1
"EIF3F",0.588152056962711,0.184030447829189,0.732,0.645,1
"MAEA",0.588339616829557,0.0433689893479389,0.101,0.049,1
"CD96",0.588450536990371,0.0916275926383198,0.2,0.14,1
"MT1X",0.588995067983867,0.0664297331438124,0.121,0.08,1
"MMP24-AS1",0.589062881961945,0.0626458311129854,0.12,0.07,1
"EMC3",0.589099881523801,0.0705668019121235,0.131,0.082,1
"ITGB2-AS1",0.589406320571982,0.0585609580891175,0.113,0.067,1
"STK10",0.589871638013517,0.0760730126719911,0.143,0.092,1
"MRPL54",0.589908260199204,0.0959149510414183,0.227,0.162,1
"FAM133B",0.590215424780999,0.0585609580891175,0.109,0.065,1
"CDC42",0.591075227953987,0.152929984462279,0.404,0.282,1
"ACTR1B",0.591079503588359,0.0662984702753199,0.123,0.078,1
"CD28",0.591686505679633,0.0681665829929566,0.121,0.084,1
"NMRK1",0.592186332724749,0.0873529375379939,0.175,0.121,1
"DERL2",0.592316508893841,0.061645048956672,0.13,0.061,1
"MKRN1",0.592318830465384,0.0968631568204667,0.244,0.179,1
"LRP10",0.592373421031346,0.0762173648506301,0.145,0.089,1
"C19orf10",0.59280501036842,0.0913165895965907,0.226,0.155,1
"LGALS3",0.593088874030653,0.236335958173648,0.138,0.036,1
"PTP4A2",0.593097937579576,0.17892261547133,0.247,0.133,1
"LASP1",0.593663369591555,0.0545535416969156,0.103,0.065,1
"ALKBH5",0.594046653661914,0.0762173648506301,0.143,0.089,1
"TAF15",0.594299733067155,0.064674270789514,0.118,0.077,1
"POLR2I",0.594629349362982,0.087812223913462,0.167,0.143,1
"CTA-29F11.1",0.59504778595065,0.0606080823054652,0.114,0.067,1
"YME1L1",0.595312959577312,0.0989197431144044,0.244,0.174,1
"SRSF7",0.595313578251655,0.163560037445372,0.591,0.485,1
"SMIM15",0.595506577708901,0.0608564160767799,0.111,0.072,1
"SDF2",0.596352550614852,0.0762173648506301,0.143,0.087,1
"MRPL51",0.596579597290592,0.0921729713917878,0.21,0.142,1
"SEPT2",0.596588631444099,0.0705668019121235,0.128,0.08,1
"ZNF394",0.596816109102445,0.0661676076473658,0.118,0.078,1
"SLC25A38",0.596952607241592,0.0641595595189853,0.113,0.08,1
"F8A1",0.597242995692425,0.084825772379612,0.167,0.108,1
"DUSP11",0.597414159581721,0.0603612779184313,0.113,0.072,1
"RAB18",0.598113698262174,0.0799734071723965,0.157,0.085,1
"CLEC2B",0.599264784118475,0.0584402456227553,0.108,0.07,1
"PET100",0.599427288018203,0.0932383360976086,0.187,0.126,1
"TMEM14C",0.601022340239902,0.0878212689950818,0.177,0.118,1
"LAP3",0.601273004737787,0.064674270789514,0.118,0.073,1
"EIF2S1",0.601319330950503,0.0588035076266607,0.106,0.068,1
"CERS2",0.601684071607774,0.0649340077082554,0.114,0.075,1
"COA3",0.601909594375304,0.0588035076266607,0.108,0.067,1
"TIMM17B",0.602021517380317,0.0688387388034579,0.103,0.08,1
"CYB5A",0.602629070516241,0.0687034846639335,0.125,0.077,1
"HNRNPK",0.602707429968854,0.156577732948042,0.562,0.459,1
"ZCRB1",0.603462450071835,0.0725559356099135,0.131,0.082,1
"CSK",0.60408064136315,0.0929124628798947,0.19,0.126,1
"ARL6IP1",0.605049806033874,0.0957557219655001,0.236,0.155,1
"IFRD1",0.605222782992015,0.0917026997545034,0.19,0.157,1
"CDK5RAP3",0.605584682332657,0.0649340077082554,0.113,0.072,1
"HLA-DRB1",0.606313455336695,0.198029168694109,0.178,0.084,1
"DPP7",0.606745101679469,0.0975317785567011,0.215,0.16,1
"AK2",0.607087738978672,0.0589253481965557,0.109,0.063,1
"DDX50",0.607166181934676,0.0545535416969156,0.106,0.056,1
"RPL8",0.60888003988544,0.231918149789681,0.998,0.988,1
"FAM32A",0.609274248604114,0.0792322332332134,0.141,0.099,1
"STARD7",0.609448657792359,0.0591701697672854,0.104,0.065,1
"C17orf49",0.609645978941796,0.0606080823054652,0.111,0.061,1
"UBL3",0.609861413476172,0.0748225425818587,0.135,0.08,1
"TP53TG1",0.610118881849494,0.0711196800546962,0.128,0.075,1
"NCOA4",0.610202572560276,0.085446291831996,0.158,0.097,1
"RAB4A",0.610241863707375,0.0689744082231393,0.12,0.077,1
"COPS8",0.610813012865065,0.0611062934960815,0.108,0.065,1
"IRF9",0.611564689851006,0.074628213403295,0.12,0.116,1
"XAF1",0.611573805668975,0.0911533059989225,0.184,0.126,1
"FNTA",0.611924529663973,0.096731925433763,0.21,0.145,1
"C4orf48",0.611973076165363,0.0613577290050495,0.108,0.065,1
"DHRS4L2",0.61229535858134,0.0609811609320308,0.104,0.068,1
"TSSC4",0.612427902109045,0.0692470005793381,0.121,0.073,1
"SHKBP1",0.613725749996529,0.0799734071723965,0.15,0.084,1
"ZFAND6",0.613846068707444,0.0904912790863957,0.173,0.116,1
"IP6K2",0.614689266546647,0.0590475683178485,0.101,0.065,1
"TEX264",0.615204821640105,0.0949148157910425,0.2,0.125,1
"UBALD2",0.615680951895544,0.0840603646956395,0.145,0.119,1
"ARHGAP25",0.615940629487738,0.0709808253749993,0.118,0.078,1
"TAF9",0.616409564675747,0.0960803313408927,0.202,0.14,1
"WAS",0.616666234850534,0.0964037516698069,0.209,0.157,1
"TMUB1",0.617428322838663,0.0751107270570717,0.131,0.077,1
"MRPL48",0.617691577044043,0.0589253481965557,0.104,0.065,1
"CAND1",0.617942586297862,0.0590475683178485,0.103,0.061,1
"DCTPP1",0.619786315837763,0.0591701697672854,0.103,0.061,1
"DDX3X",0.619798670018164,0.0695212772039073,0.12,0.07,1
"RUVBL1",0.620477453667216,0.0635419762669254,0.111,0.063,1
"EIF3J",0.620530843341087,0.067225819216245,0.114,0.07,1
"SAMD3",0.620868108912402,0.0787668881467032,0.133,0.087,1
"OCIAD2",0.62095004105239,0.101657844769909,0.37,0.307,1
"DTNBP1",0.621378686455062,0.0609811609320308,0.101,0.068,1
"TADA3",0.621945028005154,0.0734042332492503,0.126,0.075,1
"TDP2",0.622729331534898,0.069659052004028,0.121,0.068,1
"CTSS",0.62298416055735,0.0980682276215815,0.391,0.304,1
"HOPX",0.623285635684292,0.21374092916838,0.163,0.044,1
"SMAP1",0.62354318652772,0.0711196800546962,0.125,0.07,1
"WDR1",0.623719713742628,0.158774974879995,0.306,0.176,1
"MICU2",0.623820073838832,0.0634127608792503,0.104,0.067,1
"SKAP1",0.623824893887523,0.0991374117086213,0.219,0.16,1
"LRPAP1",0.623982681218928,0.0918737858195544,0.184,0.113,1
"COX6A1P2",0.624765830123937,0.0960803313408927,0.195,0.142,1
"ASF1A",0.626264810327719,0.0909073269895177,0.173,0.125,1
"ATP5A1",0.626633623888787,0.142047466851791,0.503,0.369,1
"MINOS1",0.627164055013711,0.102172047617262,0.325,0.253,1
"ATP6V0D1",0.627189510172534,0.059416523813209,0.103,0.058,1
"MAP2K1",0.627600929085951,0.0755463198207917,0.131,0.072,1
"COX17",0.627675791973265,0.0875085932581525,0.165,0.111,1
"TRAPPC1",0.627692775767332,0.147756911806979,0.441,0.338,1
"ATRAID",0.627790674298667,0.102899222489231,0.306,0.235,1
"SPCS3",0.627899222594507,0.0655904141846204,0.109,0.063,1
"ITGA4",0.628410229802132,0.0712589614176934,0.12,0.073,1
"C12orf10",0.628536005845938,0.0826759275522198,0.145,0.087,1
"ETFA",0.628829591912467,0.0732617666262376,0.125,0.073,1
"ARF4",0.628946519394975,0.0921997095056559,0.18,0.118,1
"CCT7",0.629112502653898,0.160529761220793,0.253,0.184,1
"HNRNPD",0.629280582372309,0.0769457144748287,0.125,0.082,1
"CCDC115",0.629529850638234,0.184310066987132,0.17,0.13,1
"RNF167",0.629977425014024,0.171203078345655,0.246,0.13,1
"STRA13",0.629983794502513,0.0751107270570717,0.13,0.073,1
"MRPS7",0.63005112856462,0.0930751636722278,0.184,0.123,1
